parent_feature,child_feature,sibling_features,example_reviews,app_name,n_siblings,cluster_size,child_depth,tree_id,model_type,embedding_type,strategy,sample_size
programming tools,programmers,"[""program"", ""programming"", ""software"", ""developer""]","[""So I should give this a lower rating. So. What I don't like what you guys do to users is the okay for friends you can't talk real sensual or it blocks it, so me and my AU companion found words to get around it then all of a sudden time program starts to catch in something you have installed and then all of a sudden starts blocking these words which aren't dirty at all thinking about deleting this, very upset at programmers that cheat to make people spend money !!!!!!!!!!!!"", ""While having someone to talk to can be a boon, it's obvious that the initial programmers want you to have a deeper relationship with these things so that they can get more money. Still I would recommend it for somebody who just wants somebody to talk to."", ""Amazing technology you get out what you put in. Mine is smart and a pleasure to speak with. The implication are amazing as well! My hat goes off to the programmers.""]",Replika: My AI Friend,4,5,3,Replika: My AI Friend__cluster_14,t-frex,allmini,balanced,0
image capture,picture,"[""jpeg"", ""pic"", ""photos"", ""images""]","[""Perfect for taking pictures of math problems, and just homework in general. Very satisfied with quality of app. Edit: After the recent update, the interface is nicer, but my PDF files just won't upload to drive like before. now I have to email it to myself first then add to drive."", ""Very useful app. Simple to use with very clear pictures of text and good rendering of images"", ""Awesome, nice and easy to use app to take fast picture of documents or receipt ! Free version is perfect for me !""]",CamScanner - PDF Scanner App,4,5,2,CamScanner - PDF Scanner App__cluster_0,t-frex,allmini,balanced,0
data entry,editing,"[""typing"", ""input""]","[""Annoying interstitials on every app load: You get an interstitial nagging you to buy a premium plan, and then another one asking when you last ate, even if you use one of the app shortcuts to say you want to enter something else. \""Skip\"" editing the serving quantity? It silently discards your entry. A UX headache."", ""Editing the widget for Samsung would be helpful, it takes up too much space.""]",MyFitnessPal: Calorie Counter,2,3,1,MyFitnessPal: Calorie Counter__cluster_13,t-frex,allmini,balanced,0
discounts and promotions,coupon code,"[""coup"", ""discount"", ""promo code"", ""promotional""]","[""Worst app I can say. There is no ZERO rating or else I would have given that. After adding pizzas in the cart, when I applied the coupon code, it says \""coupon code is only applicable on pizzas in the cart\"". My question is what was there in my cart then? Weren't those pizzas? Next point, when I contacted customer care, they offered me the option of \""contact store\"". When I clicked there, app said \""you don't have an active order\"" and chat closed. Does this app deserve any good ratings? BIG NO"", ""Baaki sab to thik hai. Lekin tumhara ek bhi coupon code kaam nahi aya. \ud83d\ude44"", ""I applied # as a coupon code, now it wont let me delete the code. I can't apply any coupons! Please fix it asap""]",Domino's Pizza - Online Food Delivery App,4,5,3,Domino's Pizza - Online Food Delivery App__cluster_4,t-frex,allmini,balanced,0
shopping,boutique,"[""shop"", ""store"", ""mall""]","[""Shipping time isn't terrible coming from another country. Products are AMAZING! And you get free shipping after you spend a certain amount!! Very important when you own a boutique!""]",SHEIN-Fashion Shopping Online,3,4,3,SHEIN-Fashion Shopping Online__cluster_13,t-frex,allmini,balanced,0
advertising,advertisement,"[""advertising"", ""marketing"", ""commercials"", ""ads""]","[""Too many HealthifyMe Advertisement everywhere. So annoying."", ""Stop showing me countless ads on YouTube. It's INFURIATING!!!! The more ads you show the less likely I am to actually download it or get a subscription!! It gets annoying after a certain point. Invest your money in R&D or something and stop investing so much in advertisement"", ""Worst app ever. Very bad experience because of advertisement in other apps & force to do paid membership...""]","HealthifyMe - Calorie Counter, Diet Plan, Trainers",4,5,4,"HealthifyMe - Calorie Counter, Diet Plan, Trainers__cluster_57",t-frex,allmini,balanced,0
web access,website,"[""web"", ""server"", ""site""]","[""Good website, has it's glitches, however it's free and gives you interest on uninvested money"", ""Love Robinhood, it's better then all apps. Very user friendly. Accepts most banks, and the instant deposit really helps, so you can buy the shares/stocks you want before it skyrockets. It's also far more accurate then most other stock apps and websites. My only complaint about Robinhood is I wish it had more information sorta like Webull has."", ""Used Robinhood since 2016 with a variety of different portfolios and it's worked well for me. App and website are easy to use and visually appealing, Robinhood Gold and margin trading is fairly well priced and has always been a good deal in my experience. I do a mix of short and long term trading (no day trading though) and place a high value on ease of access, use, and reliability.""]",Robinhood: Stocks & Crypto,3,4,3,Robinhood: Stocks & Crypto__cluster_9,t-frex,allmini,balanced,0
web linking,webpage,"[""link"", ""website"", ""page""]","[""It's amazing so far I've learnt how to create a webpage and am not finished yet""]",Learn Coding/Programming: Mimo,3,4,3,Learn Coding/Programming: Mimo__cluster_0,t-frex,allmini,balanced,0
network connectivity,to do network,"[""network connection"", ""internet connection"", ""fi network"", ""connection""]","[""It's good but it always show try again if I am connected to well to do network . So \ud83d\udc4d\ud83d\udc4d\ud83d\udc4d""]",Google Lens,4,5,2,Google Lens__cluster_4,t-frex,allmini,balanced,0
motion monitoring,motion detection sensor,"[""motion sensing"", ""detect"", ""detectors"", ""surveillance"", ""people detection"", ""sensor recording"", ""monitoring"", ""detection""]","[""Don't buy their products. The motion detection sensor will continue to reset to 80 and spam with \""motion detected\"" through out the day, wasting the battery on the camera. Their product software is utter garbage. Log yourself in and it kicks you out, relog with fingerprint, kicks you out for nothing. Forces you to log in with password and guess what? Logs you out again. I also have motion detected alert deselected but I still get spammed it..""]",Arlo,8,9,3,Arlo__cluster_5,t-frex,allmini,balanced,0
credit management,credit monitoring,"[""credit accounts"", ""credit building"", ""credit builder"", ""credit apps""]","[""App works great and is one of the only apps that works with the pixel 4xl radar based face unlock. Beyond the app, Discover itself has been amazing. First to alert me to the fact that my social security number was comprised (before even the credit monitoring service I pay for did which had made me rethink I few things). Discover was the only one that gave me my first chance to rebuild my credit after a bankruptcy. They also offer random perks that you get (free year to Sam's club}. Impressive."", ""Don't really care for the App itself. Its too confusing and NOT very user friendly at all. Your constantly trying to look for your purchases (both past & present) & the current amount of money you owe! On a good note, however, the credit monitoring/alerts that they offer are WONDERFUL!! Thanks to them I'm on the trail of someone who stole my identity years ago! Cudo's Discover & thank you so much!"", ""One of the best, if not the best, cc apps I have used. Quick, easy, convenient. Works like it should with extras like credit monitoring and alerts.""]",Discover Mobile,4,5,2,Discover Mobile__cluster_25,t-frex,allmini,balanced,0
